rawAccX;rawAccY;rawAccZ;rawMagX;rawMagY;rawMagZ;accX;accY;accZ;magX;magY;magZ;accNorm;magNorm
-36;-40;1008;-172;-123;-322;-0.052956;-0.058840;1.482766;-25.800001;-18.450001;-48.300002;9.899181;385.223312
-112;-36;1060;-168;-125;-321;-0.164752;-0.052956;1.559258;-25.200001;-18.750001;-48.150002;10.458875;383.262312
-36;-12;1028;-111;-139;-325;-0.052956;-0.017652;1.512185;-16.650001;-20.850001;-48.750002;10.088102;370.495614
-76;-16;1148;-52;-135;-329;-0.111796;-0.023536;1.688705;-7.800000;-20.250001;-49.350002;11.283769;359.402282
-20;-12;1012;-3;-129;-332;-0.029420;-0.017652;1.488650;-0.450000;-19.350001;-49.800002;9.926966;356.193767
20;-16;984;54;-102;-338;0.029420;-0.023536;1.447462;8.100000;-15.300001;-50.700002;9.653012;357.161028
-28;-28;984;102;-71;-340;-0.041188;-0.041188;1.447462;15.300001;-10.650000;-51.000002;9.657554;362.001381
0;0;992;124;-39;-342;0.000000;0.000000;1.459230;18.600001;-5.850000;-51.300002;9.728197;365.870196
0;12;976;137;-6;-350;0.000000;0.017652;1.435694;20.550001;-0.900000;-52.500002;9.572014;375.905573
24;28;964;159;12;-346;0.035304;0.041188;1.418042;23.850001;1.800000;-51.900002;9.460526;380.973752
-72;-8;1092;173;49;-346;-0.105912;-0.011768;1.606329;25.950001;7.350000;-51.900002;10.732401;389.930763
-168;36;1160;178;122;-345;-0.247128;0.052956;1.706357;26.700001;18.300001;-51.750002;11.499819;406.931198
20;-28;980;171;173;-344;0.029420;-0.041188;1.441578;25.650001;25.950001;-51.600002;9.616440;421.314609
-28;8;1016;146;241;-341;-0.041188;0.011768;1.494534;21.900001;36.150001;-51.150002;9.967649;442.355061
-12;4;988;113;284;-337;-0.017652;0.005884;1.453346;16.950001;42.600002;-50.550002;9.689765;454.965933
8;-72;984;80;316;-335;0.011768;-0.105912;1.447462;12.000000;47.400002;-50.250002;9.675860;467.419512
-28;-24;1000;22;347;-333;-0.041188;-0.035304;1.470998;3.300000;52.050002;-49.950002;9.813316;481.437431
4;28;1388;-39;363;-332;0.005884;0.041188;2.041745;-5.850000;54.450002;-49.800002;13.614456;493.471377
-56;-12;1028;-100;373;-324;-0.082376;-0.017652;1.512185;-15.000001;55.950002;-48.600002;10.096869;504.088286
-64;-28;992;-133;368;-323;-0.094144;-0.041188;1.459230;-19.950001;55.200002;-48.450002;9.752288;507.387426
-36;8;1000;-176;361;-321;-0.052956;0.011768;1.470998;-26.400001;54.150002;-48.150002;9.813316;514.138114
-4;32;996;-229;341;-311;-0.005884;0.047072;1.465114;-34.350001;51.150002;-46.650002;9.772542;515.211607
48;-20;968;-281;303;-309;0.070608;-0.029420;1.423926;-42.150002;45.450002;-46.350002;9.506525;515.995155
-28;-24;988;-313;257;-308;-0.041188;-0.035304;1.453346;-46.950002;38.550002;-46.200002;9.695718;508.804481
-28;12;996;-334;189;-312;-0.041188;0.017652;1.465114;-50.100002;28.350001;-46.800002;9.771991;494.591751
0;16;1000;-336;177;-313;0.000000;0.023536;1.470998;-50.400002;26.550001;-46.950002;9.807905;492.132096
-8;16;1000;-288;282;-314;-0.011768;0.023536;1.470998;-43.200002;42.300002;-47.100002;9.808219;510.944224
-44;12;1088;-238;326;-314;-0.064724;0.017652;1.600445;-35.700001;48.900002;-47.100002;10.679006;511.386351
-4;-8;964;-170;356;-322;-0.005884;-0.011768;1.418042;-25.500001;53.400002;-48.300002;9.454018;509.234720
-24;8;956;-42;371;-326;-0.035304;0.011768;1.406274;-6.300000;55.650002;-48.900002;9.378440;495.662183
-48;-4;1012;58;337;-332;-0.070608;-0.005884;1.488650;8.700000;50.550002;-49.800002;9.935565;476.609903
-8;-44;992;106;298;-333;-0.011768;-0.064724;1.459230;15.900001;44.700002;-49.950002;9.738078;459.270073
-32;-76;952;148;245;-339;-0.047072;-0.111796;1.400390;22.200001;36.750001;-50.850002;9.370889;443.677811
-40;-48;928;177;179;-340;-0.058840;-0.070608;1.365086;26.550001;26.850001;-51.000002;9.121176;423.048461
4;-36;988;185;116;-343;0.005884;-0.052956;1.453346;27.750001;17.400001;-51.450002;9.695480;406.607919
12;-16;988;174;54;-344;0.017652;-0.023536;1.453346;26.100001;8.100000;-51.600002;9.690956;389.265976
-24;0;1020;146;-23;-341;-0.035304;0.000000;1.500418;21.900001;-3.450000;-51.150002;10.005552;371.653064
-36;-4;972;113;-71;-337;-0.052956;-0.005884;1.429810;16.950001;-10.650000;-50.550002;9.538681;362.462412
-32;-8;972;70;-99;-338;-0.047072;-0.011768;1.429810;10.500000;-14.850001;-50.700002;9.537551;359.089125
-36;-16;1004;113;-57;-340;-0.052956;-0.023536;1.476882;16.950001;-8.550000;-51.000002;9.853454;362.791951
-36;-32;1000;158;-1;-342;-0.052956;-0.047072;1.470998;23.700001;-0.150000;-51.300002;9.818019;376.734655
-32;-48;1048;182;100;-344;-0.047072;-0.070608;1.541606;27.300001;15.000001;-51.600002;10.292930;401.820856
20;8;1012;167;205;-337;0.029420;0.011768;1.488650;25.050001;30.750001;-50.550002;9.926579;428.349157
-88;-168;1028;156;234;-337;-0.129448;-0.247128;1.512185;23.400001;35.100001;-50.550002;10.251360;438.931658
-16;16;968;104;301;-334;-0.023536;0.023536;1.423926;15.600001;45.150002;-50.100002;9.495431;461.489978
-12;-48;988;30;347;-331;-0.017652;-0.070608;1.453346;4.500000;52.050002;-49.650002;9.701112;480.489334
-76;32;1016;-68;372;-326;-0.111796;0.047072;1.494534;-10.200000;55.800002;-48.900002;9.996321;499.283487
